Mode,Polarity,Channel,In-Phase Step,Wrose Phase Step,Conv. Step,mW_Step,mW %,Main Ch mW,Ref. Ch mW
RX,V,1,33,3,35,18,9.643,-44.331,-41.687
RX,V,2,34,18,50,48,3.381,-38.731,-33.928
RX,V,3,35,42,10,21,16.207,-41.353,-43.325
RX,V,4,36,27,59,61,22.507,-42.28,-41.354
RX,V,5,37,57,25,30,4.41,-40.471,-32.084
RX,V,6,38,28,60,44,2.795,-32.453,-39.874
RX,V,7,39,23,55,63,4.255,-35.649,-42.955
RX,V,16,40,33,1,57,22.607,-42.408,-42.042
RX,V,17,41,55,23,22,3.987,-36.116,-33.587
RX,V,18,42,24,56,59,4.127,-41.36,-32.146
RX,V,19,43,59,27,27,22.193,-41.86,-42.546
RX,V,20,44,29,61,51,4.916,-34.849,-42.431
RX,V,21,45,50,18,17,3.377,-31.841,-43.121
RX,V,22,46,12,44,45,3.612,-42.19,-31.757
RX,V,23,47,44,12,12,4.316,-41.273,-31.958
RX,V,32,48,24,56,50,22.151,-40.859,-41.36
RX,V,33,49,52,20,11,17.96,-43.65,-41.168
RX,V,34,50,13,45,37,2.469,-31.29,-43.314
RX,V,35,51,39,7,10,3.943,-32.813,-42.386
RX,V,36,52,8,40,42,22.772,-43.323,-42.929
RX,V,37,53,37,5,22,10.363,-42.086,-42.886
RX,V,38,54,27,59,59,21.787,-41.662,-41.412
RX,V,39,55,56,24,7,10.573,-41.174,-41.786
RX,V,48,56,20,52,45,20.745,-41.46,-40.618
RX,V,49,57,46,14,24,18.184,-41.09,-40.711
RX,V,50,58,27,59,62,3.159,-42.245,-29.99
RX,V,51,59,61,29,20,18.196,-40.924,-42.155
RX,V,52,60,19,51,6,8.94,-43.102,-41.133
RX,V,53,61,47,15,12,10.318,-46.575,-42.772
RX,V,54,62,34,2,1,10.677,-43.61,-46.439
RX,V,55,63,59,27,27,5.01,-41.279,-33.252
